id,title,artist,album,albumartist,track,disc,genre,year,country,version,label,catalog_number
1,I Saw Her Standing There,The Beatles,Please Please Me,The Beatles,01,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
2,Misery,The Beatles,Please Please Me,The Beatles,02,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
3,Anna (Go to Him),The Beatles,Please Please Me,The Beatles,03,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
4,Chains,The Beatles,Please Please Me,The Beatles,04,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
5,Boys,The Beatles,Please Please Me,The Beatles,05,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
6,Ask Me Why,The Beatles,Please Please Me,The Beatles,06,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
7,Please Please Me,The Beatles,Please Please Me,The Beatles,07,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
8,Love Me Do,The Beatles,Please Please Me,The Beatles,08,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
9,P.S. I Love You,The Beatles,Please Please Me,The Beatles,09,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
10,Baby It's You,The Beatles,Please Please Me,The Beatles,10,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
11,Do You Want to Know a Secret,The Beatles,Please Please Me,The Beatles,11,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
12,A Taste of Honey,The Beatles,Please Please Me,The Beatles,12,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
13,There's a Place,The Beatles,Please Please Me,The Beatles,13,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
14,Twist and Shout,The Beatles,Please Please Me,The Beatles,14,01,Rock,1963,UK,Stereo,Parlophone,CDP 7 46435 2
1,Wanna Be Startin' Somethin',Michael Jackson,Thriller,Michael Jackson,01,01,Pop,1982,US,Stereo,Epic,QE 38112
2,Baby Be Mine,Michael Jackson,Thriller,Michael Jackson,02,01,Pop,1982,US,Stereo,Epic,QE 38112
3,The Girl Is Mine,Michael Jackson,Thriller,Michael Jackson,03,01,Pop,1982,US,Stereo,Epic,QE 38112
4,Thriller,Michael Jackson,Thriller,Michael Jackson,04,01,Pop,1982,US,Stereo,Epic,QE 38112
5,Beat It,Michael Jackson,Thriller,Michael Jackson,05,01,Pop,1982,US,Stereo,Epic,QE 38112
6,Billie Jean,Michael Jackson,Thriller,Michael Jackson,06,01,Pop,1982,US,Stereo,Epic,QE 38112
7,Human Nature,Michael Jackson,Thriller,Michael Jackson,07,01,Pop,1982,US,Stereo,Epic,QE 38112
8,P.Y.T. (Pretty Young Thing),Michael Jackson,Thriller,Michael Jackson,08,01,Pop,1982,US,Stereo,Epic,QE 38112
9,The Lady in My Life,Michael Jackson,Thriller,Michael Jackson,09,01,Pop,1982,US,Stereo,Epic,QE 38112
